learning_model,learning_model_gr_k5,learning_model_gr68,learning_model_gr912,time_period_start,time_period_end,enrollment_total,enrollment_in_person,enrollment_hybrid,enrollment_virtual,staff_count,staff_count_in_person
Virtual,Virtual,Virtual,Virtual,2021-01-03T00:00:00Z,2021-01-09T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2021-01-10T00:00:00Z,2021-01-16T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2021-01-17T00:00:00Z,2021-01-23T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2021-01-24T00:00:00Z,2021-01-30T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2021-01-31T00:00:00Z,2021-02-06T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2021-02-07T00:00:00Z,2021-02-13T00:00:00Z,1164,NA,NA,NA,113,NA
Closed,NA,NA,NA,2021-02-14T00:00:00Z,2021-02-20T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2021-02-21T00:00:00Z,2021-02-27T00:00:00Z,1164,NA,NA,NA,113,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-02-28T00:00:00Z,2021-03-06T00:00:00Z,1164,NA,NA,NA,113,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-03-07T00:00:00Z,2021-03-13T00:00:00Z,1164,NA,NA,NA,113,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-03-14T00:00:00Z,2021-03-20T00:00:00Z,1164,NA,NA,NA,113,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-03-21T00:00:00Z,2021-03-27T00:00:00Z,1164,NA,NA,NA,113,NA
Hybrid,Hybrid,Hybrid,Virtual,2021-03-28T00:00:00Z,2021-04-03T00:00:00Z,1164,NA,NA,NA,113,NA
Hybrid,Hybrid,Hybrid,Virtual,2021-04-04T00:00:00Z,2021-04-10T00:00:00Z,1164,NA,NA,NA,113,NA
Closed,NA,NA,NA,2021-04-11T00:00:00Z,2021-04-17T00:00:00Z,1164,NA,NA,NA,113,NA
Virtual,Virtual,Virtual,Virtual,2021-04-18T00:00:00Z,2021-04-24T00:00:00Z,1164,NA,NA,NA,113,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-04-25T00:00:00Z,2021-05-01T00:00:00Z,1164,NA,NA,NA,113,NA
