File,Area,total_loss_of_employment_income,percent_loss_of_employment_income
5,New Hampshire,476302,44.9
5,New Jersey,3461303,51.5
5,New Mexico,682412,43
5,New York,8153762,55
5,North Carolina,3391807,42.9
5,North Dakota,203457,36.3
5,Ohio,4061450,46.2
5,Oklahoma,1288568,44.3
5,Oregon,1641645,49.8
5,Pennsylvania,4923662,50.7
5,Rhode Island,421117,51.8
5,South Carolina,1776200,44.9
5,South Dakota,232479,36.6
5,Tennessee,2423978,46.9
5,Texas,10245171,48.1
5,Utah,813321,35.8
5,Vermont,207259,42.8
5,Virginia,2474250,38.3
5,Washington,2651565,45.2
5,West Virginia,541996,39.9
5,Wisconsin,1740693,39.5
5,Wyoming,154002,35.7
5,-> Metro Areas,NA,NA
5,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2421398,50.3
5,"Boston-Cambridge-Newton, MA-NH Metro Area",1725588,48.5
5,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3339349,48.8
5,"Dallas-Fort Worth-Arlington, TX Metro Area",3250048,49.9
5,"Detroit-Warren-Dearborn, MI Metro Area",2033001,57.5
5,"Houston-The Woodlands-Sugar Land, TX Metro Area",3084862,52.9
5,"Los Angeles-Long Beach-Anaheim, CA Metro Area",6074547,59.6
5,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",2641424,57.5
5,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",8026838,55.2
5,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2435096,50.4
5,"Phoenix-Mesa-Chandler, AZ Metro Area",1833268,47.1
5,"Riverside-San Bernardino-Ontario, CA Metro Area",2605722,59.2
5,"San Francisco-Oakland-Berkeley, CA Metro Area",1771696,54.8
5,"Seattle-Tacoma-Bellevue, WA Metro Area",1628558,49.2
5,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1908051,40.8
6,Alabama,1765955,47.8
6,Alaska,257419,49.1
6,Arizona,2458322,44.1
6,Arkansas,907424,40.5
6,California,16014564,53.6
6,Colorado,2109469,47.5
6,Connecticut,1278858,46.9
6,Delaware,304172,40.4
6,District of Columbia,226091,41.7
6,Florida,8123349,47.7
6,Georgia,3708037,46.7
6,Hawaii,526430,49.4
6,Idaho,587959,43.8
6,Illinois,4803734,50.6
6,Indiana,2255974,45.3
6,Iowa,887954,38.1
6,Kansas,921443,43.1
6,Kentucky,1486062,44.5
6,Louisiana,1870151,54.6
6,Maine,459529,43.2
6,Maryland,1926330,42.1
6,Massachusetts,2497349,47.2
6,Michigan,4278404,56
6,Minnesota,1944917,46
6,Mississippi,1162043,53.8
6,Missouri,1970943,42.7
6,Montana,298555,36.4
6,Nebraska,476947,33.7
6,Nevada,1414417,59.1
6,New Hampshire,473223,44.1
6,New Jersey,3273463,48.5
6,New Mexico,688247,43.3
6,New York,7817411,52.9
6,North Carolina,3390615,42.3
6,North Dakota,224699,40.1
6,Ohio,3890918,44.1
6,Oklahoma,1162700,40.2
6,Oregon,1704613,51.6
6,Pennsylvania,4808634,49.5
6,Rhode Island,359561,44.2
6,South Carolina,1880006,47.7
6,South Dakota,250430,39
6,Tennessee,2422009,46.5
6,Texas,10529000,49.4
6,Utah,852374,37.4
6,Vermont,220535,45.5
6,Virginia,2309270,36
6,Washington,2936663,50
6,West Virginia,609704,44.2
6,Wisconsin,1795651,40.5
6,Wyoming,154041,35.6
6,-> Metro Areas,NA,NA
6,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2259180,50.5
6,"Boston-Cambridge-Newton, MA-NH Metro Area",1723410,47.7
6,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3700813,53.2
6,"Dallas-Fort Worth-Arlington, TX Metro Area",3121305,51.7
6,"Detroit-Warren-Dearborn, MI Metro Area",1920497,55.4
6,"Houston-The Woodlands-Sugar Land, TX Metro Area",3102695,54
6,"Los Angeles-Long Beach-Anaheim, CA Metro Area",6520661,60
6,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",2591393,54.9
6,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",7896544,54.6
6,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2458652,49.7
6,"Phoenix-Mesa-Chandler, AZ Metro Area",1708731,44.7
6,"Riverside-San Bernardino-Ontario, CA Metro Area",2286639,58.5
6,"San Francisco-Oakland-Berkeley, CA Metro Area",1793290,50.4
6,"Seattle-Tacoma-Bellevue, WA Metro Area",1643757,50.9
6,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1746999,37.7
7,Alabama,1616410,43.6
7,Alaska,233971,44.6
7,Arizona,2438386,43.8
7,Arkansas,894199,39.9
7,California,16596234,55.8
7,Colorado,1966014,44.2
7,Connecticut,1221502,44.8
7,Delaware,348734,46.3
7,District of Columbia,198598,36.8
7,Florida,8036850,47.2
7,Georgia,3888425,49
7,Hawaii,489326,46.3
7,Idaho,560252,41.8
7,Illinois,4275139,44.9
7,Indiana,2171348,43.4
7,Iowa,900643,38.7
7,Kansas,847365,39.9
7,Kentucky,1765950,52.8
7,Louisiana,1771667,51.8
7,Maine,437122,41.1
7,Maryland,2002190,43.7
7,Massachusetts,2574705,48.4
7,Michigan,4062534,53.3
7,Minnesota,1882078,44.6
7,Mississippi,1193740,54.7
7,Missouri,1980836,42.9
7,Montana,361511,44
7,Nebraska,456145,32.3
7,Nevada,1531230,63.9
7,New Hampshire,536144,50.1
7,New Jersey,3632907,54.2
7,New Mexico,684375,43.1
7,New York,7586252,51.4
7,North Carolina,3776077,47.3
7,North Dakota,245058,44
7,Ohio,3830861,43.5
7,Oklahoma,1307159,44.9
7,Oregon,1411508,42.9
7,Pennsylvania,4976558,51.2
7,Rhode Island,407947,50.1
7,South Carolina,1626464,41
7,South Dakota,230378,36
7,Tennessee,2644987,50.8
7,Texas,10814471,50.9
7,Utah,966105,42.4
7,Vermont,248140,51.1
7,Virginia,2859468,44.6
7,Washington,2702006,45.9
7,West Virginia,527566,38.4
7,Wisconsin,1925290,43.6
7,Wyoming,152787,35.4
7,-> Metro Areas,NA,NA
7,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2178224,48.2
7,"Boston-Cambridge-Newton, MA-NH Metro Area",1851478,48
7,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3531244,49.1
7,"Dallas-Fort Worth-Arlington, TX Metro Area",3390742,57.8
7,"Detroit-Warren-Dearborn, MI Metro Area",2166461,58.3
7,"Houston-The Woodlands-Sugar Land, TX Metro Area",3093338,53.7
7,"Los Angeles-Long Beach-Anaheim, CA Metro Area",5939728,58.2
7,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",2746682,62.7
7,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",7847760,54.3
7,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2827278,56.1
7,"Phoenix-Mesa-Chandler, AZ Metro Area",1741389,45.5
